Adress,Educational Institute,Restaurants,Medical Service,Parks
"West Jatrabari, Jatra Bari, Dhaka",50,50,5,39
"West Kafrul, Taltola, Agargaon, Dhaka",26,18,22,16
"West Kafrul, Taltola, Dhaka",26,18,22,16
"West Kalachandpur, Kalachandpur, Dhaka",16,36,2,16
"West Katashur, Katashur, Mohammadpur, Dhaka",50,50,25,33
"West Kazipara, Mirpur, Dhaka",47,50,6,18
"West Malibag, Malibagh, Dhaka",57,62,16,30
"West Maniknagar, Maniknagar, Dhaka",18,27,2,38
"West Meradia, Meradia, Khilgaon, Dhaka",25,30,8,9
"West Mollartek, Dakshin Khan, Dhaka",24,40,2,9
"West Monipur, Mirpur, Dhaka",32,48,5,18
"West Nakhalpara, Tejgaon, Dhaka",16,37,1,26
"West Nandipara, Khilgaon, Dhaka",7,2,1,0
"West Nurer Chala, Nurer Chala, Badda, Dhaka",12,13,6,5
"West Para, Bamoil, Sarulia, Demra, Dhaka",0,0,0,2
"West Pirerbag, Pirerbag, Mirpur, Dhaka",21,40,1,16
"West Rajashon, Rajashon, Savar, Dhaka",5,45,17,0
"West Rampura, Rampura, Dhaka",26,50,8,18
"West Sheikhdi, Sheikhdi, Jatra Bari, Dhaka",50,50,4,32
"West Shewrapara, Mirpur, Dhaka",29,19,3,14
"West Vatara, Vatara, Badda, Dhaka",50,50,5,19
"Zafrabad, Dhaka",38,42,8,40
"Zafrabad, Hazaribag, Dhaka",38,42,8,40
"Zirabo, Ashulia, Savar, Dhaka",2,2,0,1
