Adress,Educational Institute,Restaurants,Medical Service,Parks
"Block B, Bochila City Developers Ltd, Bochila, Mohammadpur, Dhaka",20,0,0,9
"Block B, Bochila West Dhanmondi R/A, Bochila, Mohammadpur, Dhaka",20,0,0,9
"Block B, Chad Uddan Housing, Mohammadpur, Dhaka",35,24,29,19
"Block B, Chandrima Model Town, Mohammadpur, Dhaka",6,1,5,2
"Block B, Dakkhin Paikpara, Paikpara, Mirpur, Dhaka",50,27,6,8
"Block B, Dhaka Uddan, Mohammadpur, Dhaka",44,14,50,5
"Block B, Dolipara, Uttara, Dhaka",19,47,1,7
"Block B, Eastern Housing, Pallabi, Mirpur, Dhaka",50,26,6,13
"Block B, Kaderabad Housing Society, Bosila, Mohammadpur, Dhaka",50,50,25,33
"Block B, Kaderabad Housing Society, Katashur, Mohammadpur, Dhaka",50,50,25,33
"Block B, Mansurabad Housing Society, Adabor, Dhaka",35,48,24,30
"Block B, Metro Housing, Bochila, Mohammadpur, Dhaka",20,0,0,9
"Block B, Mohammadi Homes R/A, Mohammadpur, Dhaka",50,50,50,50
"Block B, Mohanagar Housing, West Rampura, Rampura, Dhaka",26,50,8,18
"Block B, New Town R/A, Matuail, Demra, Dhaka",4,7,0,1
"Block B, Niketan, Dhaka",50,50,50,20
"Block B, Nobodoy Housing Society, Mohammadpur, Dhaka",50,29,50,11
"Block B, Pallabi, Mirpur, Dhaka",50,50,6,13
"Block B, Phase One, Pink City Model Town, Dumni, Dhaka",0,0,0,0
"Block B, Sayednagar, East Vatara, Vatara, Badda, Dhaka",14,21,8,13
"Block B, Section 1, Mirpur, Dhaka",26,27,3,13
"Block B, Section 10, Mirpur, Dhaka",50,50,24,48
"Block B, Section 11, Mirpur, Dhaka",50,50,19,28
"Block B, Section 12, Mirpur, Dhaka",50,50,17,21
"Block B, Section 13, Mirpur, Dhaka",50,50,15,25
"Block B, Section 2, Mirpur, Dhaka",50,50,5,19
"Block B, Section 6, Mirpur, Dhaka",50,50,19,32
"Block B, Sher-E-Bangla Avenue, Dolipara, Uttara, Dhaka",18,47,1,16
"Block B, South Banasree Project, Banasree, Dhaka",4,5,1,3
"Block C (Jha), Section 6, Mirpur, Dhaka",50,50,15,21
"Block C Extension, Banasree, Dhaka",32,50,8,27
"Block C, Aftab Nagar, Dhaka",2,0,0,0
"Block C, Arambag Residential Area, Pallabi, Mirpur, Dhaka",50,26,6,13
"Block C, Banasree, Dhaka",18,45,15,22
"Block C, Bashundhara R-A, Dhaka",15,31,4,17
"Block C, Bochila City Developers Ltd, Bochila, Mohammadpur, Dhaka",20,0,0,9
"Block C, Bochila Garden City, Bochila, Mohammadpur, Dhaka",20,0,0,9
"Block C, Chad Uddan Housing, Mohammadpur, Dhaka",35,24,29,19
"Block C, Chandmiya Housing, Mohammadpur, Dhaka",50,47,38,28
"Block C, Chandrima Model Town, Mohammadpur, Dhaka",6,1,5,2
"Block C, Dakkhin Paikpara, Paikpara, Mirpur, Dhaka",50,27,6,8
"Block C, Dhaka Uddan, Mohammadpur, Dhaka",44,14,50,3
"Block C, Eastern Housing, Pallabi, Mirpur, Dhaka",50,26,6,13
"Block C, Kaderabad Housing Society, Bosila, Mohammadpur, Dhaka",50,50,25,33
"Block C, Khilgaon, Dhaka",50,50,9,40
"Block C, Mansurabad Housing Society, Adabor, Dhaka",35,48,24,30
"Block C, Metro Housing, Bochila, Mohammadpur, Dhaka",19,0,0,9
"Block C, Mohanagar Housing, West Rampura, Rampura, Dhaka",43,50,14,28
"Block C, Niketan, Dhaka",50,50,50,19
"Block C, Nobodoy Housing Society, Mohammadpur, Dhaka",50,29,50,11
"Block C, Section 1, Mirpur, Dhaka",26,27,3,13
"Block C, Section 10, Mirpur, Dhaka",50,50,20,26
"Block C, Section 11, Mirpur, Dhaka",50,50,20,36
"Block C, Section 12, Mirpur, Dhaka",50,50,17,21
"Block C, Section 13, Mirpur, Dhaka",50,50,15,25
"Block C, Section 2, Mirpur, Dhaka",50,50,5,19
"Block C, Section 6, Mirpur, Dhaka",50,50,15,21
"Block C, South Banasree Project, Banasree, Dhaka",4,5,1,3
"Block C1, Sector 15, Uttara, Dhaka",3,0,0,2
"Block Cha, Section 2, Mirpur, Dhaka",50,49,5,19
"Block D Extension, Banasree, Dhaka",35,49,11,26
"Block D, Aftab Nagar, Dhaka",6,20,15,8
"Block D, Arambag Residential Area, Pallabi, Mirpur, Dhaka",50,26,6,13
"Block D, Arifabad Housing Society, Pallabi, Mirpur, Dhaka",18,47,1,16
"Block D, Banasree, Dhaka",9,36,15,12
"Block D, Bank Colony, Savar, Dhaka",8,50,24,3
"Block D, Bashundhara R-A, Dhaka",6,9,3,3
"Block D, Bochila Garden City, Bochila, Mohammadpur, Dhaka",20,0,0,9
"Block D, Chad Uddan Housing, Mohammadpur, Dhaka",35,25,29,19
"Block D, Chandrima Model Town, Mohammadpur, Dhaka",6,1,5,2
"Block D, Dakkhin Paikpara, Paikpara, Mirpur, Dhaka",50,27,6,8
"Block D, Dhaka Uddan, Mohammadpur, Dhaka",44,14,50,3
"Block D, Dolipara, Uttara, Dhaka",18,47,1,16
"Block D, Eastern Housing, Pallabi, Mirpur, Dhaka",50,26,6,13
"Block D, Future Town, Bochila, Mohammadpur, Dhaka",20,0,0,9
"Block D, Kaderabad Housing Society, Bosila, Mohammadpur, Dhaka",50,50,25,33
"Block D, Kaderabad Housing Society, Katashur, Mohammadpur, Dhaka",20,0,0,9
"Block D, Lalmatia, Dhaka",49,50,23,50
"Block D, Mansurabad Housing Society, Adabor, Dhaka",35,48,24,30
"Block D, Meraj Nagar, Kadamtali, Shyampur, Dhaka",50,50,25,33
"Block D, Metro Housing, Bochila, Mohammadpur, Dhaka",20,0,0,9
"Block D, Mohanagar Housing, West Rampura, Rampura, Dhaka",50,50,6,42
"Block D, Niketan, Dhaka",46,44,40,18
"Block D, Nobodoy Housing Society, Mohammadpur, Dhaka",50,29,50,11
"Block D, Pallabi, Mirpur, Dhaka",47,25,6,13
"Block D, Section 1, Mirpur, Dhaka",27,25,3,12
"Block D, Section 10, Mirpur, Dhaka",50,49,18,23
"Block D, Section 11, Mirpur, Dhaka",47,44,19,27
"Block D, Section 12, Mirpur, Dhaka",49,46,17,19
